id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,target
436,A,B,A,A,B,D,A,E,E,F,0.308115155671322,0.6962098775264834,0.4299706553475737,0.20731949261318225,0.7444742410905941,0.3871497625301028,0.6520427379791754,0.8988975335971701,0.3852206028134167,0.6699340170121056,0.6600335014168197,0.3836519090602607,0.6604996177756746,0.7387618716338581,7.2556431255880955
437,A,A,A,A,B,B,A,E,C,F,0.483322288677859,0.6166891859153439,0.754940913134061,0.23440889875575385,0.2786075687949417,0.39036258502671417,0.38412752155279295,0.6287482690587298,0.4528551023119097,0.3234276149809289,0.3630034133564857,0.7257557234099876,0.34638886975969524,0.7321342525833857,8.245259024865991
439,A,A,A,C,B,B,A,D,C,A,0.5076681667002212,0.6278958395851243,0.5331291854150808,0.3022931985327817,0.2788701947898847,0.8239603392612899,0.7745597791992239,0.4954527344288602,0.4619890467326993,0.5262643488387296,0.6798805744236436,0.8105789348834535,0.3163778088241144,0.5786972188231634,8.519577188706398
440,A,B,A,C,B,B,A,E,E,G,0.3009594641136252,0.6174089489881873,0.5206397668806785,0.41008358479760665,0.7740955706955023,0.4050986804160029,0.2213313190621705,0.2734352828557753,0.4679943382508616,0.3352034026129844,0.3813947822046237,0.3518300131799025,0.3101269096355821,0.7430148616340083,6.390475484659043
442,A,B,A,A,B,B,A,E,A,F,0.3778290341687949,0.4872149487421089,0.6410116095817256,0.2560456266242342,0.2807118786577371,0.3408714682589161,0.433795519082284,0.6448569299895712,0.2056556438073406,0.4392633237789543,0.27485181040547546,0.7416072704596264,0.3560222619277857,0.21086154692966805,7.0646902621982015
444,A,B,A,C,B,B,A,D,A,H,0.8738303255891228,0.757821751047688,0.3131478313392231,0.8444300803373932,0.4621244828875105,0.2576254423651124,0.5674262303455985,0.3680222461387532,0.4247119284198965,0.7842205080629524,0.9534156382741812,0.8549934595377064,0.2837736485668694,0.8242247297478651,7.755211546899433
445,A,B,A,D,B,B,A,E,C,L,0.4663662233805514,0.6681364228369572,0.42076840767895796,0.8722081173142724,0.8665193845826514,0.3605263491579389,0.3916885657500657,0.6509522860042675,0.3732350431647471,0.4549480547651423,0.5822208983283061,0.3901471269605489,0.34561330776696203,0.4633326297350967,7.756421378657212
446,A,A,A,C,B,B,A,E,E,H,0.2752624712143681,0.12757184687976514,0.5030140749972384,0.3565651077049088,0.3078363451961084,0.4418193521266934,0.3532907152078729,0.24693000038024546,0.32807101557215923,0.16312327512648178,0.5028103259305692,0.3291761395976052,0.3049506809786432,0.5092700454764673,7.35522124077353
447,A,B,A,C,B,D,A,E,G,K,0.7123814847477327,0.6517672346125802,0.4979608652951753,0.2450904763086682,0.2798107780362612,0.8673232933211708,0.9437312448456476,0.6750374067952587,0.3587384171316748,0.3867155150632142,0.7220578663758226,0.7236815212166229,0.8107220399905093,0.2258484524780055,7.045676687586446
450,A,A,A,C,B,B,A,E,E,I,0.25492907807258897,0.4868526231407008,0.427904638998966,0.4822548864095572,0.5752137336620371,0.2235077306810933,0.3600668333861553,0.6884156101998625,0.15334297595237398,0.37840322090030604,0.40515584133204063,0.3744602589397067,0.3594661351997465,0.3674827377796824,8.461960472824735
453,A,B,A,C,B,D,A,E,G,L,0.7701361844189956,0.027049784262544216,0.1859696536492123,0.4376779586846595,0.7326321375542796,0.5966219586617029,0.3964939142332241,0.5422559119792139,0.28397775909710843,0.3751114619309743,0.24227410991782175,0.3574678587138891,0.7119615228262082,0.3364317987153325,8.60874767681742
454,A,A,A,A,B,B,A,E,C,A,0.5092123490521713,0.5548912201913988,0.5635054530047563,0.7438900482520119,0.3192740048590684,0.3836474446288808,0.6080059250242424,0.27190261546221384,0.4590363040284757,0.4682721242648314,0.7101981428574067,0.6900302471709531,0.31590540817813245,0.2501228134330045,6.087459531460712
455,A,A,A,C,B,B,A,E,C,K,0.33823452501130064,0.038773938552731736,0.5403961361175557,0.2112666036063928,0.8041591154238414,0.3374392684151621,0.4377177215447232,0.26282658136312925,0.3488925083419452,0.4454573439015097,0.3162819722112828,0.33859662501643345,0.2860812913076188,0.6660467209218274,7.652386782039446
456,A,B,A,C,B,D,A,E,E,H,0.2938971739139461,0.5572114855876452,0.7904150176128651,0.2202635283411373,0.6955634195129444,0.4780181541348192,0.5644520886765394,0.504762888219611,0.4519733351803283,0.3128035195040575,0.5864094434103317,0.3070970124878421,0.3532183378716601,0.7728696414496184,7.258495354890571
460,A,B,A,A,B,C,A,E,G,F,0.9557412054853336,0.3564079612828943,0.06063200835982097,0.8019357067458228,0.2784077970703033,0.8061309089945758,0.5813316349025837,0.6301139618584641,0.6123669057021379,0.8015895703160575,0.8391350242823108,0.6795466844686202,0.7118162752954623,0.2954497265576164,8.126587560769055
461,A,B,A,C,B,D,A,E,E,H,0.43838588056716704,0.7780920051618635,0.4484610391611395,0.21604809906095726,0.3282686642887671,0.3714287201488168,0.4623625784914699,0.3629940327883245,0.19491421283009605,0.4660904268539549,0.3569612751738737,0.4411080653451598,0.5750236631397028,0.8040633054746399,7.883041018436466
462,A,A,A,A,B,D,A,E,C,O,0.6811223686459313,0.7544325735630745,0.4241551707683195,0.2297799558089614,0.27857369928330417,0.6598630574718822,0.692214448164599,0.30086125885375026,0.4833029753213703,0.6109960230236383,0.7318325679675075,0.6816568615114516,0.6983252180584811,0.8005805140419308,6.312852685378172
463,A,B,B,C,B,B,A,E,E,H,0.44065795005302016,0.7523209591438529,0.4554341964566011,0.3813099773607865,0.7309755415218544,0.23103721465862706,0.1947883649556892,0.24065197740206346,0.3340328933455653,0.3469889435675701,0.2045036823589157,0.16039995353840153,0.2812557768495546,0.4915912217064778,7.155176605824184
466,A,B,B,A,B,D,A,E,D,H,0.6585278905157163,0.08461840243583964,-0.0013127394496302016,0.7694975463629273,0.2817202899367041,0.7172265093733459,0.2875115190693477,0.36663962926740795,0.9302908968134328,0.5295021323694298,0.5832033641477047,0.6517725056045046,0.7423279792907369,0.4716019537885927,8.322687832679456
468,A,A,A,C,B,D,A,E,A,J,0.3365215470451211,0.619494008295753,0.4295935526937032,0.7912033010638669,0.27737664117254285,0.6474704611061485,0.5449784281776674,0.5516870872061396,0.8873571315409771,0.8029382973517531,0.6323711127103592,0.681709583828115,0.8649334112897603,0.7169053125264968,8.076173980597094
469,A,B,A,C,B,D,A,E,E,F,0.8037549911085456,0.6846658326975967,0.1100321940076866,0.7939689250272549,0.346166458114505,0.41897928955181,0.37553808544896056,0.23442216990649745,0.2817200573827422,0.7628664679543384,0.21697667648329214,0.3178605691047309,0.435571087445576,0.7635908184494744,7.840871334249585
470,A,A,B,C,B,B,A,E,C,L,0.4968175539219674,0.4866014229947673,0.4218546050241386,0.7628219122630922,0.7746404300835689,0.4784028454141951,0.33428337472019004,0.26069553831404,0.2704221834011317,0.5462439662849297,0.4786637640091245,0.7033071999609868,0.8142817661363779,0.4751040227837621,8.55311243832984
473,A,B,A,C,B,B,A,E,C,F,0.5241580962603395,0.6191482149064248,0.30974546426216554,0.8349929803913451,0.8680711148527551,0.4591455602284487,0.3513787667637262,0.6323384014502286,0.4045886018758273,0.43457661597247776,0.5792422152455786,0.3908061358168683,0.3287622750793043,0.6914972502589212,7.023329091433595
474,A,B,A,C,B,D,A,E,A,I,0.3649964482533067,0.15979015121231874,0.4945872659528591,0.4554351027565858,0.4590374331998128,0.7379000113038418,0.6806723286275208,0.4324542260239972,0.6044191677065041,0.6238891849411758,0.42479902372059497,0.6948322755403207,0.81000717747923,0.7781259515276164,8.374940116287837
475,A,B,A,C,B,B,A,E,G,L,0.8524027888178434,0.3021074770160033,0.6673775884187556,0.17946954846696075,0.27059760328251165,0.3874436238642565,0.3470308578302552,0.3413541974181662,0.4535030058134491,0.4957382108418562,0.655435939136844,0.5064703460469242,0.29910624000026786,0.2286749092431074,8.312006838052232
476,A,A,A,C,B,C,A,E,G,L,0.6979992019990655,0.6754967390669753,0.4625254874414256,0.1800608137845411,0.7415629025140686,0.3901695327958611,0.20442942058727784,0.255675895512055,0.6346840777370716,0.6365435698362787,0.4559359316700378,0.6170768917462722,0.6505789972637954,0.2821973889746899,6.925938252322276
479,A,B,A,C,B,D,A,E,E,F,0.5023819370509717,0.06180410732116207,0.4420782122276895,0.3654047706208762,0.29997497897748937,0.3854782140912692,0.3204686590038225,0.5273115036234474,0.2956171443439885,0.5615415697570681,0.37659959642784735,0.3651383624590532,0.5983860255755356,0.21307116690134287,8.220367011391755
481,A,A,A,C,B,D,A,E,C,F,0.8366243510291335,0.29540122874519803,0.3024597022619468,0.4471072843502191,0.2791105672822669,0.8748391903129609,0.5655252627456128,0.9080431707216692,0.4946070395726565,0.8456864121069507,0.8394926557293427,0.7947008050901594,0.6852154341946253,0.4006444064692132,8.025801179994355
482,A,A,A,C,B,B,A,E,E,O,0.21020525422882236,0.020524919867712783,0.2803657045573285,0.3866297315759509,0.2786853361358597,0.2674197647222466,0.21064938337210004,0.6676659227297052,0.27915084042831106,0.1868170972812624,0.15967091419221247,0.08910438555046787,0.332922920573089,0.2962280967962282,8.084983774788487
484,B,A,A,C,B,B,A,E,E,I,0.2782647303636647,0.7767272047485491,0.5482096433900009,0.7226808453690339,0.2806891468034663,0.35959329047819993,0.3687943998348108,0.2554338558877622,0.14773967456613965,0.22686377041223835,0.3245302237109484,0.16261467029412655,0.3034783291357508,0.30633077915787976,7.678886778967404
485,A,B,A,C,B,D,A,E,A,F,0.7153135995164668,0.6176980609496167,0.31828493818613235,0.8223689323909522,0.2762310592028493,0.8839477726661357,0.4376709169356356,0.6493494206179563,0.8828499640801097,0.8313708500452239,0.5576697508843943,0.7442439063274907,0.7982842769116547,0.2041932622607791,7.563464370928547
486,A,A,A,C,B,B,A,E,E,I,0.3188630593814355,0.6195216880908543,0.29287111260723364,0.6935831734098818,0.2807144437888276,0.8572915669393621,0.4434818346986439,0.3164326420057485,0.5267600109551434,0.5828383689821439,0.2928450921590152,0.8208183515668062,0.3348506019690918,0.7022940276074006,8.519072063808068
488,A,B,A,A,B,B,A,E,G,L,0.6439810476886085,-0.008574396352670738,0.3204406281692401,0.4387685648574196,0.2800275378244952,0.6256333685365887,0.4574696635493308,0.5922829776594242,0.6487626468901323,0.8437167157540348,1.0051514635920902,0.7160685498416898,0.2806104455594841,0.29400128560537425,6.5062494705638425
490,A,A,A,C,B,D,A,E,C,K,0.22304389405911174,0.6171325964335777,0.4813530176563846,0.5483564850340478,0.27976657248906245,0.6377850551852571,0.3584801653366144,0.4262882951794613,0.3134153602283646,0.32954517516255416,0.35958281760460137,0.3600812761575412,0.6937210218223125,0.271150191775515,7.039040944447019
493,A,B,A,C,B,D,A,E,G,M,0.6921141118806565,0.2967968319978763,0.3264628107912578,0.3748453666691468,0.7289556697769708,0.6150024282169022,0.31027008570356224,0.2450270084793935,0.4750688718470322,0.7577982665537805,0.40152453574146096,0.914604395413434,0.2899289408927164,0.8316081624521308,5.857085066030424
494,A,B,A,C,B,B,A,E,G,H,0.6829650834155905,0.04607898519186629,0.1097825766825146,0.7376061935423275,0.7520152585248032,0.3813190541318004,0.5239757847744172,0.5443458377188577,0.590508294133537,0.4546615105170505,0.5473927224347418,0.6382457705400881,0.3553921897587827,0.8121301143289652,6.9851093211795074
495,A,A,A,C,B,D,A,E,E,B,0.4182333391431279,0.11011146401581023,0.6828050192464468,0.20707891705572948,0.7413619949408087,0.4451578720321949,0.37779779326567264,0.2853832162291192,0.3845982838633841,0.3393836226920449,0.6155490376488729,0.3020276245901308,0.40805435133939344,0.2467386159288437,7.184159722916304
497,A,B,A,C,B,B,A,E,E,A,0.6474122088612598,0.552351695694353,0.3954146543706734,0.7760004484394462,0.4127405805754947,0.2097719641456668,0.9424506517761556,0.30529852169290883,0.4632936356116202,0.2270450452306931,0.3844193303966423,0.6301411968870381,0.2351155167937122,0.2788231906852265,7.68835181795049
498,A,A,B,C,B,B,A,E,C,K,0.5601244999475565,0.6414416698982186,0.3751309165162963,0.19700180459034816,0.27977378586265744,0.7205437485541053,0.3950257800961718,0.2548404078570412,0.4098447072433581,0.5060859605853942,0.6037448849862731,0.3891267822123584,0.3504467128412168,0.6699011222368867,6.267667365646851
499,A,B,A,C,B,D,A,E,A,L,0.4639837816646824,0.6199749222740006,0.2571608537976283,0.7419682579674161,0.4166601627701633,0.5329037360057365,0.3466151149925626,0.3807611756320033,0.2811785192223975,0.34926054344176666,0.5544981429427904,0.7189433687512021,0.6408307205559776,0.7658237175206846,6.73525217292117
504,A,A,A,A,B,B,A,E,E,F,0.33662044022210097,0.7767026345568258,0.3683367864341043,0.16632238672439942,0.2708891661183112,0.3498112938103024,0.4210180313320943,0.2739974209295571,0.17911002006866644,0.5228556137285335,0.4224416854434488,0.365933884278318,0.32289339561415553,0.8073100759650207,7.07910372251426
507,B,A,A,A,B,B,A,E,C,I,0.4930491899038939,0.6166045156387296,0.5485269585424857,0.7258688704822391,0.2805772097645498,0.5444865437959399,0.8051153891662111,0.3494615569378509,0.6290019784474229,0.4916046701819142,0.757491057697612,0.5454896785333403,0.3211705982955934,0.4786504791548992,5.957967062310942
508,A,A,A,A,B,D,A,D,C,K,0.4874962898265919,0.6377738798399606,0.13494262771754098,0.2836587162547609,0.4718750114421717,0.4283655244814552,0.4376033331195023,0.3111173295849674,0.4699554405553147,0.7037745038963709,0.384263145537593,0.6995064777408848,0.3096522451317748,0.1968613439821892,7.824689990668116
509,A,A,A,C,B,D,A,E,E,F,0.28742390228226505,0.6187303393609742,0.4790908680970859,0.2243782971138168,0.7108618209347652,0.5378792702483255,0.4204966770140745,0.4585640907823364,0.07271870189199857,0.4742839755429297,0.35453098516617915,0.9220731703774354,0.295419497501569,0.4838385874690275,6.653394190979935
510,B,B,A,C,B,D,A,E,C,L,0.6048099840378369,0.7788946406419354,0.628070774330721,0.6311229383800085,0.5174943963054649,0.6305781670248333,0.8383924504347072,0.2773979255209766,0.5359642787780543,0.4137702167127149,0.4414958465710391,0.6905057155918896,0.3659094190082407,0.4746252000948903,6.928560664924528
511,A,A,B,C,B,D,A,E,E,F,0.9145174004742808,0.6160885897969087,0.6599160940892698,0.849664294034155,0.2793347463392701,0.8682256278818515,0.4657730305906061,0.3685579164919538,0.4225923595078308,0.828337777645967,0.7128206115960741,0.949397514766612,0.8084678998519467,0.31006992549225065,7.619449519986195
512,A,B,A,C,B,D,A,E,G,H,0.9955364463367232,0.4836502087267272,0.30914551492192244,0.5341287774657615,0.6638898891459761,0.6570337493645259,0.5012996258900286,0.8783684001327036,0.5773414847638372,0.8134460780959877,0.5779953083543703,0.5223268891311967,0.8849909755333046,0.2829137838667851,6.302403317615491
513,A,B,A,A,B,B,A,E,C,F,0.4944381828796673,0.5525709344540475,0.3192000040164075,0.21284009253009292,0.2776052210065917,0.40252643647270775,0.905503702271096,0.675258359776379,0.4759084523771659,0.4649452344620218,0.8028127264267786,0.898838702264364,0.3337478790351969,0.22208453902237432,8.213674584152384
515,A,A,A,A,B,B,A,E,C,I,0.5127728659631986,0.3517837064716514,0.6502994638170554,0.8202935603070224,0.2805269174962809,0.4249214269550099,0.6649309531410929,0.6572690226292917,0.4872118457441058,0.7985763100398289,0.8100829759620726,0.8624041455742275,0.9168228737733164,0.3785846123533468,6.368881148972905
516,A,B,A,C,B,B,A,E,A,F,0.5174130904180483,0.08452100982089895,0.6848675983635832,0.3348208763497817,0.41973652678037504,0.6328082049923381,0.21581146490877107,0.6548840806639971,0.3568480446420142,0.5187223316261285,0.5806887597368184,0.3800138942179744,0.3475856002915021,0.7936649611245221,6.628325583640317
518,A,A,A,D,B,B,A,E,A,F,0.5032492750135424,0.6759630788203093,0.938743793039702,0.7410377427768692,0.3623118707305101,0.3739513604095533,0.777241961621723,0.3194438054091246,0.5182719210611002,0.4392609299388125,0.7941301187178619,0.8294108936448202,0.3375055982391944,0.7275839308848719,8.335036179733953
520,A,B,A,A,B,D,A,E,G,F,0.8287680180669471,0.2983291901014133,0.32632030990294203,0.6951920141089484,0.3562666068791813,0.5394872464673579,0.517821257827373,0.5025532738050186,0.8795237731957043,0.5399641739431779,0.5698205006101775,0.7731273807668643,0.6622191878465468,0.7237349052674168,6.324851503771448
521,A,A,A,C,B,D,A,E,E,F,0.2287223652769229,0.4209328165907876,0.4408516689109399,0.17864022175597968,0.4146880878372529,0.257126089314809,0.2811206727530189,0.5785597041656401,0.15207813846384566,0.261661542700645,0.30923786459554164,0.28565607188368186,0.7063522425451184,0.7582664121025414,6.491853038794316
524,B,A,A,C,B,B,A,E,E,L,0.4927865706909513,0.2955555257638263,0.571572663114689,0.39041007813204587,0.2797217885769395,0.4315418715319704,0.4182335256600644,0.3434265168827828,0.4525439592447103,0.5209390098917133,0.6219480647130193,0.6940879577039245,0.33243803956845314,0.2073339882299036,6.5446057463513005
525,B,B,A,C,B,B,A,E,E,H,0.5154432711831243,0.16818655892352286,0.4219597546824713,0.4379148786985499,0.6902045304538416,0.2283907790032381,0.3787187944256824,0.2472681647341093,0.3558318588401923,0.3511701395355049,0.30883751713861674,0.2717705273913142,0.2911485218969667,0.7527428236309426,7.114534896872529
526,A,A,A,A,B,B,A,E,C,F,0.332551588239936,0.6724016544169518,0.5499594043866151,0.18397639230252305,0.3277833374632264,0.38648330023754296,0.3577084965845049,0.2972538584170413,0.3419227061175917,0.5084044810915918,0.605678414985749,0.6582545671311436,0.3432805077267768,0.8314925056937351,6.529890169418822
527,A,A,A,C,B,B,A,E,C,F,0.4880988452780491,0.7480419009308615,0.6049116619902823,0.4787073288250666,0.2787054285704962,0.3692439824990276,0.3845508340315392,0.2563731663885629,0.3434849820563183,0.4417556309063244,0.7029415133818182,0.3373266557014553,0.3636843183509122,0.2108088274242336,6.4047742541773856
529,A,A,A,C,B,B,A,E,E,G,0.349522677876596,0.1112819194543886,0.2348867017722381,0.7817176977118281,0.5033426111887148,0.18014283380293378,0.2117150903115187,0.2490186248321021,0.2741011117135946,0.3238135241652293,0.1831047288705486,0.36479046426765577,0.3520441301905876,0.23117032723681186,6.446770546627237
531,A,B,B,C,B,B,A,E,A,I,0.6144359941448679,0.35367703253261423,0.4572782565893728,0.3770731645542912,0.7560138858185692,0.409291332654846,0.4027626870782738,0.3413751004719931,0.22334113889193125,0.30703935730169546,0.4618123549974963,0.32922961175616816,0.3002817960413629,0.2918902589484977,7.489072985357403
533,A,A,A,A,B,B,A,E,E,F,0.27085387592981164,0.6539590090759265,0.4583317268383856,0.3298044935361203,0.8478042393825562,0.2508307168171534,0.3538892410347097,0.30685875178565136,0.37819157810687104,0.3179968844677541,0.284189830520389,0.21103901213652124,0.28113221671772953,0.374121156934769,6.5532198181780785
534,A,A,A,C,B,B,A,E,C,I,0.4845135809736026,0.5529190597517454,0.531165631792284,0.17936976764132628,0.7852171817240228,0.5347530881402208,0.4260117376342306,0.6608623066817221,0.4618539183739496,0.5561918378075408,0.5062661703676672,0.4333793653427772,0.3920331491387673,0.3611496073555739,7.632641471349933
536,A,A,A,C,B,B,A,E,C,K,0.7027967537893389,0.6167682948468043,0.4422574526655808,0.2201837440683815,0.2843844006250005,0.5923764216391711,0.3664355746925328,0.4817934284177671,0.4652926453906552,0.6484527400933636,0.6256123058795867,0.4803314180976849,0.6967114582067083,0.7850436801038339,7.000372044579641
537,A,B,A,A,B,D,A,E,G,F,0.9092166286360079,0.4872895646279794,0.19292008898597485,0.7790243895711938,0.27829321919347216,0.7163555149405453,0.6530561515581806,0.3516777913664957,0.5260459857466279,0.7482544584096557,0.4258330521555153,0.8695127850566469,0.7416149328603713,0.4135519633895916,6.696098782204271
539,A,A,A,C,B,D,B,E,C,I,0.2764132813957361,0.6172244480303433,0.4098743700349996,0.14889445793356215,0.2778167814770662,0.3657419271631496,0.3661836979466504,0.7778387538516659,0.4055037672755277,0.4914851290031136,0.456429716015276,0.15095835515893208,0.5790924663678938,0.8341329222785808,8.498096592998417
540,A,A,A,A,B,B,A,E,C,F,0.4731931758793336,0.7452174033348065,0.7827319683474938,0.3723735482673819,0.4159725991192235,0.3985288818599546,0.2838889778954821,0.2492048485288254,0.4471107949073837,0.5977516411628829,0.7068882930979109,0.5070398922930474,0.3468638939046263,0.2625261794653629,7.9081782162228444
541,A,A,A,C,B,B,A,E,A,I,0.7594762294358115,0.6172937852673768,0.933874555499206,0.3544658888768885,0.5495969991714806,0.5260694502736286,0.8365945399192332,0.2309229608769065,0.3492577382708505,0.5015288800093636,0.3770141639159347,0.6986044192143843,0.3257497626632041,0.35343670914118075,8.450231954560405
543,A,A,A,A,B,D,A,E,E,F,0.4492389752331758,0.6158724207365792,0.1944311028696292,0.41658290253465147,0.7605721873989609,0.4422626598198742,0.4363539219655425,0.25954084524616594,0.4580779896494963,0.5151565515421394,0.4343929375873711,0.6963553986494033,0.5022469965095798,0.7054684562100205,8.364601852464565
544,A,B,A,C,B,D,A,E,C,O,0.5075255998777023,0.4888873427352883,0.6474757232293399,0.23199110561180555,0.27834316926493946,0.4263315343447388,0.8530407652672312,0.5267753535791213,0.4559883905877956,0.4102918227541503,0.576629233331864,0.7284574631431905,0.8825001897670075,0.7043699799819325,7.046733284712921
545,A,B,A,A,B,B,A,E,C,I,0.5013705458985636,0.6200947189641987,0.6085872298176751,0.16881834516922467,0.2948342144643403,0.4002904330019789,0.8121765604615463,0.3004997627608148,0.464189132804782,0.5193033366592421,0.7928756984783963,0.866497793112067,0.3590470308816902,0.8258879605991328,8.534689934800268
547,B,B,A,C,B,A,A,E,G,A,0.6445075687394964,-0.0060564858172951755,0.30940031297968634,0.7143211362587197,0.8385131544160492,0.4478258293186518,0.4354094196908776,0.26930668021186105,0.5986707462658583,0.7714748479642645,0.5477730435978353,0.7892331014167397,0.8346209848452859,0.6685082124255562,7.3560880241634425
549,A,B,B,A,B,D,A,E,E,F,0.3028595883290244,0.6590954265439274,0.4613194882092991,0.4495626540491256,0.5813565908525259,0.7729365721561943,0.4140194039399536,0.6227858213892338,0.4921246014244115,0.3420611287724295,0.2620938973734924,0.6652031704213472,0.7208073492444889,0.7018604346300183,8.286145062174185
551,A,A,A,C,B,D,A,E,E,F,0.6147334800919143,0.2371878242407916,0.7557643886645905,0.4052729265326417,0.41885801651681615,0.8507892527092588,0.4344148634190759,0.2595708387074007,0.5171179085947856,0.9163664158133094,0.5839480047943971,0.7308046767663161,0.7161403431278702,0.5780040230605178,6.9823267526637265
552,A,A,A,A,B,B,A,E,E,F,0.6498867078795458,0.35442808245020546,0.32691718564128025,0.7036315538883047,0.2820108343880609,0.40261869758761,0.4119008668482079,0.2965396663642672,0.15263767859561864,0.5017718041076691,0.4661404121739709,0.4585047027806678,0.3339459506613546,0.6466775182904514,7.865676312902586
553,A,B,A,C,B,D,A,E,E,F,0.7226701136903789,0.2940357703915817,0.2586142223944009,0.7771045757988607,0.473161318050797,0.90712041339289,0.3141790450262547,0.6180288618961601,0.9448615769306478,0.8127547283085274,0.5831240764538558,0.8004827230500275,0.7356458456198081,0.6874387937962035,8.436181414695413
554,A,A,A,A,B,B,A,E,A,L,0.600018665976955,0.7855034718221164,0.18591983140436327,0.1714722035684447,0.3206710033216316,0.432128192233642,0.2912636393299546,0.6602238394389893,0.3776794856171965,0.7242345538284641,0.5926900176423434,0.7110714751175946,0.320101142019323,0.3780639003988746,6.841774771752651
556,A,B,A,C,B,B,A,E,C,G,0.4840511893841661,0.6589797467866716,0.9424134371321808,0.3924568484831293,0.2771599212917821,0.3995633323549645,0.3350732087685334,0.3886536800754855,0.325824475424132,0.4426262519434403,0.3143030968362869,0.5942013042029289,0.2850371400425278,0.4620963392104378,6.191141726485232
558,A,A,A,C,B,D,A,E,G,G,0.6997022390707326,0.2915296938233158,0.30968564140403737,0.7720245136841316,0.3249388922394813,0.9332447987932162,0.9207443888723308,0.5535743643034721,0.8674436324026648,0.7994959840297017,0.6082574609384173,0.6006945905607701,0.8603197142874185,0.7475293561872672,7.168342662927137
561,A,A,A,C,B,D,A,B,G,L,0.9647457186316191,0.5533482587608747,0.047447458568732254,0.7275461398634487,0.2813655865438874,1.015590501309168,0.5198440903066993,0.3110766882856295,0.8983761002824053,0.8303913344449082,0.6212574483352659,0.6975809777900351,0.8007143110304955,0.29388200063394465,7.366449057768088
563,A,A,A,C,B,D,A,E,G,F,0.7704001581408779,0.6911708527735008,0.5428311884996224,0.6603688717755386,0.2961543859256277,0.8726733264992259,0.7013227911556854,0.2801121861843287,0.5714889725037092,0.7844119056011172,0.5473108434008656,0.7442360697666374,0.7603877604581619,0.7067805345603081,8.404170477152645
564,A,B,A,C,B,B,A,E,E,H,0.2515687044877369,0.6365143666841219,0.9314163170706452,0.2083649802089648,0.3007819355365146,0.3696127392859501,0.30924263258787993,0.23521691712930246,0.1027112446928596,0.3807632453945807,0.25585168425239235,0.20850258808752029,0.29494510106719923,0.20911961652232847,8.218498582548216
565,A,A,A,A,B,D,A,E,G,H,0.6767285728820419,0.7696100471131092,0.17081194132554645,0.24477189967440696,0.33666053183144,0.5447926512798119,0.6247069137850231,0.3020809057029218,0.3930839653986309,0.7365981418358116,0.723912478632211,0.7013958544748594,0.6887694227576651,0.4888006067409638,6.86233532385309
568,A,A,A,A,B,D,A,G,C,M,0.23879926352971295,0.6193619195216304,0.5097310677145319,0.3495125931003531,0.3724513779138852,0.4674732861392912,0.3691903025361996,0.2937014109933128,0.3630009141641336,0.3970788879614373,0.4368502052733419,0.7145978640883951,0.6430592321082094,0.7173973615075527,6.745741294138454
570,A,B,A,C,B,B,A,E,E,H,0.1623000204514199,0.0870573192235116,0.4002012564353733,0.1657709900582589,0.2780426814460391,0.27031875401485783,0.33962275774022194,0.7046651804262396,0.2878212618730103,0.32693321157076666,0.5770719984350627,0.8073105756835722,0.8561116395252957,0.7491328082620379,8.55073555703943
573,A,A,A,C,B,D,A,E,C,N,0.5426502847340517,0.29365466702865484,0.8190939281377511,0.8040728539112563,0.2807333784176788,0.8588393399201473,0.7721703565836728,0.8930789372274993,0.9486535488747618,0.8256168993469912,0.9580130501315854,0.866219392940946,0.739003840582074,0.8034951587465538,6.625225230784322
575,A,B,A,C,B,D,A,E,E,G,0.34603008518926165,0.7864272149095802,0.6309836464655351,0.20837101950030631,0.2772383136541554,0.3448931559204805,0.3918281884819811,0.8338904548960407,0.28210150724353256,0.516988208636551,0.5734406232752839,0.3227903190325561,0.7713222522165929,0.2720154421890348,9.0761639389991
576,A,A,A,C,B,B,A,E,E,I,0.3820298279514825,0.06318468037898603,0.3823886655584392,0.7655424226947593,0.2677138810686501,0.2022682890712061,0.26283403414782897,0.6576126243811726,0.33822933044070164,0.3847653654973992,0.412620307924672,0.22655504306335986,0.39559595856480856,0.8077968840857987,6.743017394040751
578,B,A,A,A,B,B,A,E,C,K,0.4901853756548663,0.6636091748092553,0.5255769429004008,0.1651214903890868,0.2804779436418145,0.3916360694147427,0.3318737374828728,0.33073573663764555,0.3864401271366096,0.3148598306355988,0.3065159207126805,0.3504953966996874,0.29814508623208325,0.8115196233911434,7.228470093736402
579,A,A,A,C,B,D,A,E,C,J,0.34706111074287743,0.7703558959555366,0.4632404867943663,0.8431656786087754,0.4133462745191889,0.5919500966776444,0.3916727367641248,0.5543264399315204,0.3752680695582084,0.7219729178723157,0.4552795067328203,0.37275695488201177,0.7006195812954779,0.7750229102499997,5.751682392176728
580,A,B,A,C,B,B,A,E,E,F,0.3906932227175708,0.4858666974191336,0.3663325241979747,0.38259105075326794,0.4842151005984012,0.21883418111071026,0.3680301338071532,0.2356872558652829,0.3453600715459433,0.4489919905182356,0.2802600844591759,0.28196959256428006,0.3431010844683361,0.2131123731566065,8.051695866343877
